learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
evaluation,2.8kW,Random,1,0,0.857373439789923,0.0260612238198518,0,50.19288888888889,2.8,147.87435955360766,25.006766666666667,86.44056311013716,0.0,7.0,13.4,275
evaluation,7.7kW,Random,1,0,0.0,0.0,0,50.47911111111111,7.7,0.0,25.0154,12.5077,0.0,0.0,0.0,275
evaluation,11.5kW,Random,1,0,0.0,0.0,0,50.64847222222223,11.5,0.0,25.023,12.5115,0.0,0.0,0.0,275
evaluation,120.0kW,Random,1,0,0.0,0.0,0,56.13333333333333,120.0,0.0,25.24,12.62,0.0,0.0,0.0,275
evaluation,250.0kW,Random,1,0,0.0,0.0,0,61.31944444444444,250.0,0.0,25.5,12.75,0.0,0.0,0.0,275
training,1.9kW,Random,2,1,0.0003487777721602,0.1253323853015899,260,50.259433547800434,1.9,325.3472677965747,25.07452222222222,175.21089500939848,0.2663047227632459,19.8,14.2,290
training,2.8kW,Random,2,1,0.0084032630547881,0.1680973619222641,260,50.37416593317045,2.8,375.557053062577,25.102044444444445,200.32954875351072,0.2900101561014316,13.2,14.2,290
training,7.7kW,Random,2,0,0.0,0.0,0,50.99030555555555,7.7,0.0,25.254955555555554,12.627477777777775,0.0,0.0,0.0,290
training,11.5kW,Random,2,1,0.0,0.1250926554203033,218,51.32744241688385,11.5,330.3412304146035,25.347236111111112,177.8442332628573,0.2876481615511603,50.2,14.3,290
training,120.0kW,Random,2,0,0.0,0.0,0,62.766666666666666,120.0,0.0,28.306666666666665,14.153333333333332,0.0,0.0,0.0,290
training,250.0kW,Random,2,1,0.0,0.1294172257184982,178,73.66913110161826,250.0,331.32611874207055,31.15972222222222,181.2429204821464,0.2310563717654556,5.9,14.3,290
evaluation,1.9kW,Random,2,0,0.930306538543208,0.0076194633729755,0,50.567655770022654,1.9,80.21908504678693,25.13351677390021,52.67630091034357,0.0,74.1,15.1,874
evaluation,2.8kW,Random,2,0,0.9144951878143388,0.0088841766119003,0,50.82838815539267,2.8,86.33841376394776,25.192682966585227,55.76554836526649,0.0,82.2,15.1,874
evaluation,7.7kW,Random,2,0,0.93376337107233,0.0072183045558631,0,52.23941666666666,7.7,79.35320591592092,25.51055277777777,52.43187934684935,0.0,6.4,15.2,874
evaluation,11.5kW,Random,2,0,0.92359186205755,0.0074440659955143,0,53.1929979724394,11.5,80.58458683633584,25.686721208441924,53.13565402238888,0.0,76.5,15.2,874
evaluation,120.0kW,Random,2,0,0.836505734040429,0.016120258718729,0,82.23333333333333,120.0,117.82405902204326,31.62333333333333,74.7236961776883,0.0,56.6,15.2,874
evaluation,250.0kW,Random,2,0,0.9286054086231674,0.0078838942572474,0,100.0,250.0,81.7767836776541,37.33456555080913,59.55567461423161,0.0,74.5,15.1,874
training,1.9kW,Random,3,1,0.8803166747093201,0.0114801051095128,592,50.83791704864728,1.9,98.46648694553517,25.287627885011325,61.87705741527324,0.2565192516069902,6.1,15.2,882
training,2.8kW,Random,3,0,0.0,0.0,0,51.28883259983712,2.8,0.0,25.419794077696334,12.709897038848167,0.0,82.2,15.1,882
training,7.7kW,Random,3,1,0.9172915816307068,0.0112889092415571,592,53.45811117456508,7.7,99.23682638178128,26.13510833333333,62.68596735755731,0.2890198844015719,78.3,15.2,882
training,11.5kW,Random,3,0,0.0,0.0,0,55.08410908355051,11.5,0.0,26.6194989862197,13.30974949310985,0.0,76.5,15.2,882
training,120.0kW,Random,3,1,0.270858883857727,0.0560592301189899,592,100.0,120.0,219.72098677821432,41.35666666666667,130.5388267224405,0.2627743435503931,49.3,15.2,882
training,250.0kW,Random,3,1,0.8854776620864868,0.0114391688257455,592,100.0,250.0,98.5046801117554,50.5,74.5023400558777,0.2240792480869002,14.1,15.2,882
evaluation,1.9kW,Random,3,0,0.9368864609641936,0.0057785627432167,0,51.143500381980616,1.9,69.85949276207124,25.42275852432364,47.64112564319744,0.0,74.4,15.2,1461
evaluation,2.8kW,Random,3,0,0.9145367523679706,0.0076770838350057,0,51.73916593317045,2.8,80.25897616008189,25.65001629991856,52.954496230000224,0.0,55.3,15.2,1461
evaluation,7.7kW,Random,3,0,0.9420990437811728,0.0058978665620088,0,54.69652784123174,7.7,71.72892918877152,26.744455587282538,49.23669238802702,0.0,5.1,15.2,1461
evaluation,11.5kW,Random,3,0,0.9308057592788016,0.0062989834696054,0,56.93369241688384,11.5,74.12797058878064,27.56505454177525,50.84651256527795,0.0,57.4,15.2,1461
evaluation,120.0kW,Random,3,0,0.8763775947475473,0.0126691004261374,0,100.0,120.0,104.45298742201084,50.24,77.34649371100542,0.0,82.1,15.2,1461
evaluation,250.0kW,Random,3,0,0.9404397043874284,0.006541134789586,0,100.0,250.0,74.48797698322379,50.5,62.49398849161189,0.0,74.0,15.2,1461
training,1.9kW,Random,4,1,0.9079961180686952,0.0064299767836928,587,51.41046565195087,1.9,73.69197800583457,25.575550190990302,49.63376409841244,0.2627342897906504,10.8,15.3,1469
training,2.8kW,Random,4,1,0.7228543758392334,0.0202896799892187,587,52.15645710427867,2.8,130.47673253509186,25.875182966585225,78.17595775083853,0.2408037206309957,14.7,15.3,1469
training,7.7kW,Random,4,1,0.9326494932174684,0.0058060297742486,587,55.914971031309925,7.7,71.16828584239198,27.36366392061587,49.26597488150392,0.2274352908322566,82.9,15.3,1469
training,11.5kW,Random,4,1,0.8909740447998047,0.0063413470052182,587,58.774211162481926,11.5,74.37682507397172,28.48984620844192,51.43333564120682,0.2123211513575876,81.8,15.3,1469
training,120.0kW,Random,4,0,0.0,0.0,0,100.0,120.0,0.0,50.24,25.12,0.0,82.1,15.2,1469
training,250.0kW,Random,4,0,0.0,0.0,0,100.0,250.0,0.0,50.5,25.25,0.0,74.0,15.2,1469
evaluation,1.9kW,Random,4,0,0.949735314174656,0.0049626105464994,0,51.7160489852842,1.9,64.73968895323917,25.70903282597543,45.2243608896073,0.0,65.8,16.0,2048
evaluation,2.8kW,Random,4,0,0.9323271351130828,0.0064031486399471,0,52.606790437612005,2.8,73.29802374716196,26.083828552139337,49.69092614965065,0.0,61.9,16.0,2048
